weight	weight_residue	ell_1	a_ell_1	ell_2	a_ell_2	orbit	place	e	f	kind	weight_file
12	12	3	7	29	23	1	1	1	1	rational	weight_12.json
16	16	3	33	29	30	1	1	1	1	rational	weight_16.json
18	18	3	28	29	9	1	1	1	1	rational	weight_18.json
20	20	3	35	29	9	1	1	1	1	rational	weight_20.json
22	22	3	26	29	2	1	1	1	1	rational	weight_22.json
24	24	3	0	29	44	1	1	1	1	rational	weight_24.json
24	24	3	8	29	9	1	2	1	1	rational	weight_24.json
26	26	3	0	29	9	1	1	1	1	rational	weight_26.json
28	28	3	19	29	23	1	1	1	1	rational	weight_28.json
28	28	3	0	29	44	1	2	1	1	rational	weight_28.json
30	30	3	8	29	30	1	1	1	1	rational	weight_30.json
30	30	3	21	29	30	1	2	1	1	rational	weight_30.json
32	32	3	45	29	37	1	1	1	1	rational	weight_32.json
32	32	3	14	29	9	1	2	1	1	rational	weight_32.json
34	34	3	42	29	9	1	1	1	1	rational	weight_34.json
34	34	3	12	29	44	1	2	1	1	rational	weight_34.json
36	36	3	28	29	30	1	1	1	1	rational	weight_36.json
36	36	3	42	29	16	1	2	1	1	rational	weight_36.json
36	36	3	8	29	2	1	3	1	1	rational	weight_36.json
38	38	3	10	29	9	1	1	1	1	rational	weight_38.json
38	38	3	28	29	9	1	2	1	1	rational	weight_38.json
40	40	3	35	29	23	1	1	1	1	rational	weight_40.json
40	40	3	5	29	16	1	2	1	1	rational	weight_40.json
40	40	3	2	29	16	1	3	1	1	rational	weight_40.json
42	0	3	14	29	2	1	1	1	1	rational	weight_42.json
42	0	3	7	29	9	1	2	1	1	rational	weight_42.json
42	0	3	8	29	23	1	3	1	1	rational	weight_42.json
44	2	3	42	29	9	1	1	1	1	rational	weight_44.json
44	2	3	24	29	30	1	2	1	1	rational	weight_44.json
44	2	3	21	29	16	1	3	1	1	rational	weight_44.json
46	4	3	28	29	37	1	1	1	1	rational	weight_46.json
46	4	3	37	29	37	1	2	1	1	rational	weight_46.json
46	4	3	47	29	37	1	3	1	1	rational	weight_46.json
48	6	3	8	29	44	1	1	1	1	rational	weight_48.json
48	6	3	35	29	37	1	2	1	1	rational	weight_48.json
48	6	3	48	29	44	1	3	1	1	rational	weight_48.json
48	6	3	35	29	37	1	4	1	1	rational	weight_48.json
50	8	3	38	29	2	1	1	1	1	rational	weight_50.json
50	8	3	7	29	9	1	2	1	2	rational	weight_50.json
52	10	3	23	29	9	1	1	1	1	rational	weight_52.json
52	10	3	21	29	2	1	2	1	1	rational	weight_52.json
52	10	3	21	29	2	1	3	1	1	rational	weight_52.json
52	10	3	40	29	9	1	4	1	1	rational	weight_52.json
54	12	3	34	29	16	1	1	1	1	rational	weight_54.json
54	12	3	7	29	23	1	2	1	1	rational	weight_54.json
54	12	3	14	29	16	1	3	1	1	rational	weight_54.json
54	12	3	8	29	16	1	4	1	1	rational	weight_54.json
56	14	3	21	29	9	1	1	1	1	rational	weight_56.json
56	14	3	25	29	23	1	2	1	1	rational	weight_56.json
56	14	3	42	29	2	1	3	1	1	rational	weight_56.json
56	14	3	3	29	23	1	4	1	1	rational	weight_56.json
58	16	3	33	29	30	1	1	1	1	rational	weight_58.json
58	16	3	14	29	16	1	2	1	1	rational	weight_58.json
58	16	3	9	29	30	1	3	1	1	rational	weight_58.json
58	16	3	28	29	9	1	4	1	1	rational	weight_58.json
60	18	3	35	29	37	1	1	1	1	rational	weight_60.json
